EAN,sku,gyartoi_cikkszam,post_title,kiszereles _kg,short_name,prod_cat,product_cat,post_content,published,catalog_visibility,regular_price,crosssell_skus,images
3182550743464,128530,3972000500, ROYAL CANIN YORKSHIRE TERRIER JUNIOR - Yorkshire Terrier kölyök kutya száraz táp  ,0.5,YORKSHIRE TERRIER PUPPY,BHN,Kutya száraz tápok,,,visible,1753,,https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(1).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(1).png|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(2).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(2).png|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(3).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(4).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(5).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(6).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(7).jpg
3182550743471,128540,3972001500, ROYAL CANIN YORKSHIRE TERRIER JUNIOR - Yorkshire Terrier kölyök kutya száraz táp  ,1.5,YORKSHIRE TERRIER PUPPY,BHN,Kutya száraz tápok,,,visible,4382,,https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(1).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(1).png|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(2).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(2).png|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(3).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(4).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(5).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(6).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(7).jpg
3182550811422,188780,3972007500, ROYAL CANIN YORKSHIRE TERRIER JUNIOR - Yorkshire Terrier kölyök kutya száraz táp  ,7.5,YORKSHIRE TERRIER PUPPY,BHN,Kutya száraz tápok,,,visible,18237,,https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(1).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(1).png|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(2).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(2).png|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(3).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(4).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(5).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(6).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Puppy%20dry/RC-BHN-Yorkshire-Terrier-Puppy-dry%20(7).jpg
9003579001448,224390,2040001020, ROYAL CANIN YORKSHIRE TERRIER ADULT - Yorkshire Terrier felnőtt kutya nedves táp ,1.02,YORKSHIRE TERRIER ADULT (12*85g),BHN,Kutya nedves tápok,,,visible,3962,,https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20WET/Yorkshire%20Terrier%20Adult%20wet/RC-BHN-Yorkshire-Terrier-Adult-wet%20(1).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20WET/Yorkshire%20Terrier%20Adult%20wet/RC-BHN-Yorkshire-Terrier-Adult-wet%20(1).png|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20WET/Yorkshire%20Terrier%20Adult%20wet/RC-BHN-Yorkshire-Terrier-Adult-wet%20(2).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20WET/Yorkshire%20Terrier%20Adult%20wet/RC-BHN-Yorkshire-Terrier-Adult-wet%20(3).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20WET/Yorkshire%20Terrier%20Adult%20wet/RC-BHN-Yorkshire-Terrier-Adult-wet%20(4).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20WET/Yorkshire%20Terrier%20Adult%20wet/RC-BHN-Yorkshire-Terrier-Adult-wet%20(5).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20WET/Yorkshire%20Terrier%20Adult%20wet/RC-BHN-Yorkshire-Terrier-Adult-wet%20(6).jpg
3182550710046,128590,3051000500, ROYAL CANIN YORKSHIRE TERRIER ADULT - Yorkshire Terrier felnőtt kutya száraz táp  ,0.5,YORKSHIRE TERRIER ADULT,BHN,Kutya száraz tápok,,,visible,1651,,https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Adult%20dry/RC-BHN-Yorkshire-Terrier-Adult-dry%20(1).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Adult%20dry/RC-BHN-Yorkshire-Terrier-Adult-dry%20(1).png|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Adult%20dry/RC-BHN-Yorkshire-Terrier-Adult-dry%20(2).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Adult%20dry/RC-BHN-Yorkshire-Terrier-Adult-dry%20(2).png|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Adult%20dry/RC-BHN-Yorkshire-Terrier-Adult-dry%20(3).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Adult%20dry/RC-BHN-Yorkshire-Terrier-Adult-dry%20(4).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Adult%20dry/RC-BHN-Yorkshire-Terrier-Adult-dry%20(5).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Adult%20dry/RC-BHN-Yorkshire-Terrier-Adult-dry%20(6).jpg
3182550716857,128610,3051001500, ROYAL CANIN YORKSHIRE TERRIER ADULT - Yorkshire Terrier felnőtt kutya száraz táp  ,1.5,YORKSHIRE TERRIER ADULT,BHN,Kutya száraz tápok,,,visible,4229,,https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Adult%20dry/RC-BHN-Yorkshire-Terrier-Adult-dry%20(1).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Adult%20dry/RC-BHN-Yorkshire-Terrier-Adult-dry%20(1).png|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Adult%20dry/RC-BHN-Yorkshire-Terrier-Adult-dry%20(2).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Adult%20dry/RC-BHN-Yorkshire-Terrier-Adult-dry%20(2).png|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Adult%20dry/RC-BHN-Yorkshire-Terrier-Adult-dry%20(3).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Adult%20dry/RC-BHN-Yorkshire-Terrier-Adult-dry%20(4).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Adult%20dry/RC-BHN-Yorkshire-Terrier-Adult-dry%20(5).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Adult%20dry/RC-BHN-Yorkshire-Terrier-Adult-dry%20(6).jpg
3182550716925,127950,3051007500, ROYAL CANIN YORKSHIRE TERRIER ADULT - Yorkshire Terrier felnőtt kutya száraz táp  ,7.5,YORKSHIRE TERRIER ADULT,BHN,Kutya száraz tápok,,,visible,16574,,https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Adult%20dry/RC-BHN-Yorkshire-Terrier-Adult-dry%20(1).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Adult%20dry/RC-BHN-Yorkshire-Terrier-Adult-dry%20(1).png|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Adult%20dry/RC-BHN-Yorkshire-Terrier-Adult-dry%20(2).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Adult%20dry/RC-BHN-Yorkshire-Terrier-Adult-dry%20(2).png|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Adult%20dry/RC-BHN-Yorkshire-Terrier-Adult-dry%20(3).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Adult%20dry/RC-BHN-Yorkshire-Terrier-Adult-dry%20(4).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Adult%20dry/RC-BHN-Yorkshire-Terrier-Adult-dry%20(5).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/BHN%20-%20Breed%20Health%20Nutrition/BHN%20-%20DRY/Yorkshire%20Terrier%20Adult%20dry/RC-BHN-Yorkshire-Terrier-Adult-dry%20(6).jpg
3182550793568,173230,1002000500, ROYAL CANIN X-SMALL PUPPY - nagyon kistestű kölyök kutya száraz táp ,0.5,X-SMALL PUPPY,SHN,Kutya száraz tápok,,,visible,1486,,https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(1).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(1).png|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(2).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(3).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(4).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(5).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(6).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(7).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(8).jpg
3182550793612,173250,1002001500, ROYAL CANIN X-SMALL PUPPY - nagyon kistestű kölyök kutya száraz táp ,1.5,X-SMALL PUPPY,SHN,Kutya száraz tápok,,,visible,3772,,https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(1).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(1).png|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(2).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(3).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(4).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(5).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(6).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(7).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(8).jpg
3182550793636,173270,1002003000, ROYAL CANIN X-SMALL PUPPY - nagyon kistestű kölyök kutya száraz táp ,3,X-SMALL PUPPY,SHN,Kutya száraz tápok,,,visible,6756,,https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(1).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(1).png|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(2).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(3).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(4).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(5).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(6).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(7).jpg|https://github.com/totapp91/Royal-Canin/raw/main/Royal%20Canin%20kutya%20eledelek/SHN%20-%20Size%20Health%20Nutrition/SHN%20-%20X-Small/X-Small%20Puppy%20dry/RC-SHN-X-Small-Puppy-dry%20(8).jpg
